iter	Passed	Remaining
417	2700	3759
418	2706	3752
419	2712	3745
420	2718	3738
421	2724	3731
422	2730	3724
423	2736	3717
424	2742	3710
425	2748	3703
426	2754	3696
427	2760	3689
428	2767	3683
429	2772	3674
430	2779	3669
431	2786	3663
432	2793	3657
433	2799	3650
434	2805	3644
435	2812	3637
436	2818	3631
437	2826	3626
438	2832	3619
439	2838	3612
440	2843	3604
441	2850	3598
442	2856	3591
443	2861	3583
444	2868	3577
445	2874	3570
446	2880	3563
447	2887	3557
448	2892	3550
449	2899	3543
450	2904	3536
451	2910	3529
452	2917	3522
453	2923	3515
454	2929	3509
455	2935	3502
456	2941	3494
457	2947	3488
458	2955	3483
459	2961	3476
460	2967	3469
461	2973	3462
462	2979	3455
463	2985	3449
464	2990	3441
465	2997	3435
466	3003	3428
467	3010	3421
468	3017	3416
469	3022	3408
470	3029	3402
471	3035	3395
472	3042	3389
473	3048	3382
474	3054	3375
475	3060	3368
476	3066	3361
477	3071	3354
478	3077	3347
479	3084	3341
480	3090	3334
481	3096	3328
482	3103	3321
483	3109	3314
484	3115	3307
485	3121	3301
486	3127	3294
487	3133	3287
488	3139	3280
489	3146	3274
490	3152	3267
491	3158	3260
492	3164	3254
493	3170	3247
494	3176	3240
495	3182	3234
496	3189	3227
497	3195	3221
498	3201	3214
499	3208	3208
500	3215	3202
501	3220	3194
502	3227	3188
503	3233	3181
504	3239	3175
505	3245	3168
506	3251	3161
507	3257	3154
508	3263	3147
509	3269	3140
510	3275	3134
511	3281	3127
512	3285	3118
513	3291	3112
514	3297	3105
515	3303	3098
516	3309	3091
517	3315	3085
518	3321	3078
519	3327	3071
520	3334	3065
521	3340	3058
522	3346	3052
523	3353	3045
524	3359	3039
525	3365	3032
526	3371	3026
527	3378	3019
528	3384	3013
529	3388	3005
530	3396	2999
531	3402	2993
532	3408	2986
533	3416	2981
534	3422	2974
535	3428	2967
536	3433	2960
537	3439	2953
538	3445	2947
539	3452	2940
540	3458	2934
541	3465	2928
542	3471	2921
543	3477	2915
544	3484	2908
545	3490	2902
546	3495	2894
547	3502	2888
548	3507	2881
