iter	Logloss
0	0.6013418384
1	0.5098759545
2	0.455215366
3	0.4117955826
4	0.3599842104
5	0.3335399767
6	0.3124342051
7	0.2907348092
8	0.2765892887
9	0.2627989657
10	0.2452533002
11	0.2355488195
12	0.2260841627
13	0.2140910351
14	0.2047464058
15	0.199431186
16	0.1952712225
17	0.1893400704
18	0.1858423632
19	0.1810916669
20	0.176747892
21	0.1733116715
22	0.1708269634
23	0.1683214733
24	0.1664498103
25	0.1646805763
26	0.1616550558
27	0.1600658533
28	0.1572110685
29	0.1550577313
30	0.1538400332
31	0.1519222673
32	0.1504292179
33	0.1487704606
34	0.1466177339
35	0.1456753518
36	0.1443148696
37	0.1429753636
38	0.1421484623
39	0.1411562579
40	0.1403572169
41	0.1398840989
42	0.1388017244
43	0.1374470662
44	0.1358318992
45	0.1350529875
46	0.1343741129
47	0.1337113015
48	0.133287811
49	0.1325332228
50	0.130966594
51	0.1300914296
52	0.1294741075
53	0.1287563836
54	0.1279331736
55	0.1271914981
56	0.126781916
57	0.1259915706
58	0.1255486464
59	0.1250399834
60	0.1246050903
61	0.1231899571
62	0.122991603
63	0.1222419929
64	0.1211334546
65	0.1206493146
66	0.1198513445
67	0.119325906
68	0.1187145996
69	0.1182330322
70	0.1176144368
71	0.1170270703
72	0.1166720033
73	0.1164135327
74	0.1159775239
75	0.1154739253
76	0.1151836524
77	0.1148460965
78	0.1143307734
79	0.1139321451
80	0.1133640532
81	0.112926278
82	0.1126050866
83	0.1121352463
84	0.111735664
85	0.1115544573
86	0.1110809027
87	0.110431575
88	0.110187904
89	0.1098711939
90	0.1090572355
91	0.1084997166
92	0.1083162292
93	0.1080409686
94	0.1077436609
95	0.1073435352
96	0.1069502045
97	0.1067288263
98	0.1062948462
99	0.1060201966
100	0.1056857666
101	0.1054588833
102	0.1050503746
103	0.1048841648
104	0.1046652937
105	0.1044347742
106	0.1041777254
107	0.1040010426
108	0.1037534651
109	0.103566869
110	0.1031739747
111	0.1030168472
112	0.1027841303
113	0.1026248789
114	0.1024231501
115	0.1022550239
116	0.1019077593
117	0.1017057954
118	0.1014474508
119	0.1011288831
120	0.1007616897
121	0.1007302828
122	0.1004606516
123	0.1003586923
124	0.1003586989
125	0.1001636632
126	0.09978328652
127	0.09966186446
128	0.09953343386
129	0.09944038665
130	0.09892897794
131	0.09865225546
132	0.09862717768
133	0.09851879551
134	0.09839951112
135	0.09833407209
136	0.09814618327
137	0.0980114977
138	0.09782047657
139	0.09746914327
140	0.0974002197
141	0.09722685849
142	0.09714948751
143	0.09701886177
144	0.09697016969
145	0.09691054914
146	0.09676542247
147	0.0966031021
148	0.09650368048
149	0.09642368361
150	0.09628960267
151	0.09607609575
152	0.09582439338
153	0.09552479386
154	0.09539483202
155	0.09510693236
156	0.0949342556
157	0.09472098938
158	0.0946374219
159	0.09458744663
160	0.09443792912
161	0.09429600985
162	0.09422109331
163	0.09400268671
164	0.09394691264
165	0.0938749572
166	0.09372188844
167	0.09359103317
168	0.09345871569
169	0.09323530101
170	0.09296282121
171	0.09266696776
172	0.09259287418
173	0.09251152137
174	0.09247312072
175	0.09236834682
176	0.09218748792
177	0.09199687602
178	0.0919099953
179	0.09182965001
180	0.0917129862
181	0.09160992809
182	0.0915468458
183	0.09148222827
184	0.09133980023
185	0.09126628883
186	0.09116559734
187	0.09106493652
188	0.09102641918
189	0.09090601752
190	0.0908661629
191	0.09076227652
192	0.09071300961
193	0.09066453161
194	0.09057802398
195	0.09042662618
196	0.09030376748
197	0.09021104061
198	0.09002413394
199	0.08983479728
200	0.08965658524
201	0.08960343276
202	0.08951508505
203	0.08944659988
204	0.08935369369
205	0.08924306123
206	0.08910421362
207	0.08901912006
208	0.08895293401
209	0.08889067399
210	0.08879092054
211	0.08875488654
212	0.08863178027
213	0.0885256018
214	0.08845407539
215	0.08834676933
216	0.08829678876
217	0.08813421441
218	0.08800920746
219	0.08786122101
220	0.08768234565
221	0.08755541513
222	0.08750842837
223	0.08740575242
224	0.08737048346
225	0.0872886867
226	0.0872450909
227	0.08704384224
228	0.08697235509
229	0.08691555631
230	0.08680356779
231	0.08676255268
232	0.08661834791
233	0.08647492806
234	0.08638782415
235	0.08623977394
236	0.08614638204
237	0.08607767067
238	0.08603062968
239	0.08595486
240	0.08581357788
241	0.0857378076
242	0.08564246979
243	0.08561405056
244	0.08555418349
245	0.08550125009
246	0.08541617478
247	0.08535178221
248	0.08525903466
249	0.08520852322
250	0.08492007058
251	0.08490054124
252	0.08485650577
